identifier,title,description,subject,creator
http://arxiv.org/abs/0903.1291,The quantum query complexity of certification,"  We study the quantum query complexity of finding a certificate for a d-regular, k-level balanced NAND formula. Up to logarithmic factors, we show that the query complexity is Theta(d^{(k+1)/2}) for 0-certificates, and Theta(d^{k/2}) for 1-certificates. In particular, this shows that the zero-error quantum query complexity of evaluating such formulas is O(d^{(k+1)/2}) (again neglecting a logarithmic factor). Our lower bound relies on the fact that the quantum adversary method obeys a direct sum theorem. ",Quantum Physics ; Computer Science - Computational Complexity ; ,"Ambainis, Andris ; Childs, Andrew M. ; Gall, François Le ; Tani, Seiichiro ; "
http://arxiv.org/abs/0903.2923,On uncertainty principles in the finite dimensional setting,  The aim of this paper is to prove an uncertainty principle for the representation of a vector in two bases. Our result extends previously known qualitative uncertainty principles into quantitative estimates. We then show how to transfer this result to the discrete version of the Short Time Fourier Transform. An application to trigonometric polynomials is also given. ,Mathematics - Classical Analysis and ODEs ; Computer Science - Information Theory ; ,"Ghobber, Saifallah ; Jaming, Philippe ; "
http://arxiv.org/abs/0903.4386,Error-and-Erasure Decoding for Block Codes with Feedback,"  Inner and outer bounds are derived on the optimal performance of fixed length block codes on discrete memoryless channels with feedback and errors-and-erasures decoding. First an inner bound is derived using a two phase encoding scheme with communication and control phases together with the optimal decoding rule for the given encoding scheme, among decoding rules that can be represented in terms of pairwise comparisons between the messages. Then an outer bound is derived using a generalization of the straight-line bound to errors-and-erasures decoders and the optimal error exponent trade off of a feedback encoder with two messages. In addition upper and lower bounds are derived, for the optimal erasure exponent of error free block codes in terms of the rate. Finally we present a proof of the fact that the optimal trade off between error exponents of a two message code does not increase with feedback on DMCs. ",Computer Science - Information Theory ; ,"Nakiboglu, Baris ; Zheng, Lizhong ; "
http://arxiv.org/abs/0904.2051,Joint-sparse recovery from multiple measurements,"  The joint-sparse recovery problem aims to recover, from sets of compressed measurements, unknown sparse matrices with nonzero entries restricted to a subset of rows. This is an extension of the single-measurement-vector (SMV) problem widely studied in compressed sensing. We analyze the recovery properties for two types of recovery algorithms. First, we show that recovery using sum-of-norm minimization cannot exceed the uniform recovery rate of sequential SMV using $\ell_1$ minimization, and that there are problems that can be solved with one approach but not with the other. Second, we analyze the performance of the ReMBo algorithm [M. Mishali and Y. Eldar, IEEE Trans. Sig. Proc., 56 (2008)] in combination with $\ell_1$ minimization, and show how recovery improves as more measurements are taken. From this analysis it follows that having more measurements than number of nonzero rows does not improve the potential theoretical recovery rate. ",Computer Science - Information Theory ; ,"Berg, Ewout van den ; Friedlander, Michael P. ; "
http://arxiv.org/abs/0907.3220,Inter Genre Similarity Modelling For Automatic Music Genre   Classification,"  Music genre classification is an essential tool for music information retrieval systems and it has been finding critical applications in various media platforms. Two important problems of the automatic music genre classification are feature extraction and classifier design. This paper investigates inter-genre similarity modelling (IGS) to improve the performance of automatic music genre classification. Inter-genre similarity information is extracted over the mis-classified feature population. Once the inter-genre similarity is modelled, elimination of the inter-genre similarity reduces the inter-genre confusion and improves the identification rates. Inter-genre similarity modelling is further improved with iterative IGS modelling(IIGS) and score modelling for IGS elimination(SMIGS). Experimental results with promising classification improvements are provided. ",Computer Science - Sound ; Computer Science - Artificial Intelligence ; Statistics - Machine Learning ; H.5.5 ; I.5 ; ,"Bagci, Ulas ; Erzin, Engin ; "
http://arxiv.org/abs/0907.3965,P != NP Proof,"  This paper demonstrates that P \not= NP. The way was to generalize the traditional definitions of the classes P and NP, to construct an artificial problem (a generalization to SAT: The XG-SAT, much more difficult than the former) and then to demonstrate that it is in NP but not in P (where the classes P and NP are generalized and called too simply P and NP in this paper, and then it is explained why the traditional classes P and NP should be fixed and replaced by these generalized ones into Theory of Computer Science). The demonstration consists of: 1. Definition of Restricted Type X Program; 2. Definition of the General Extended Problem of Satisfiability of a Boolean Formula - XG-SAT; 3. Generalization to classes P and NP; 4. Demonstration that the XG-SAT is in NP; 5. Demonstration that the XG-SAT is not in P; 6. Demonstration that the Baker-Gill-Solovay Theorem does not refute the proof; 7. Demonstration that the Razborov-Rudich Theorem does not refute the proof; 8. Demonstration that the Aaronson-Wigderson Theorem does not refute the proof. ","Computer Science - Computational Complexity ; 68Q15 (Primary), 68Q17 (Secondary) ; ","Barbosa, André Luiz ; "
http://arxiv.org/abs/0910.2912,Universally Composable Quantum Multi-Party Computation,"  The Universal Composability model (UC) by Canetti (FOCS 2001) allows for secure composition of arbitrary protocols. We present a quantum version of the UC model which enjoys the same compositionality guarantees. We prove that in this model statistically secure oblivious transfer protocols can be constructed from commitments. Furthermore, we show that every statistically classically UC secure protocol is also statistically quantum UC secure. Such implications are not known for other quantum security definitions. As a corollary, we get that quantum UC secure protocols for general multi-party computation can be constructed from commitments. ",Quantum Physics ; Computer Science - Cryptography and Security ; ,"Unruh, Dominique ; "
http://arxiv.org/abs/0910.5577,On the stability of two-chunk file-sharing systems,"  We consider five different peer-to-peer file sharing systems with two chunks, with the aim of finding chunk selection algorithms that have provably stable performance with any input rate and assuming non-altruistic peers who leave the system immediately after downloading the second chunk. We show that many algorithms that first looked promising lead to unstable or oscillating behavior. However, we end up with a system with desirable properties. Most of our rigorous results concern the corresponding deterministic large system limits, but in two simplest cases we provide proofs for the stochastic systems also. ","Computer Science - Operating Systems ; Mathematics - Probability ; 60K25, 68M14 ; ","Norros, Ilkka ; Reittu, Hannu ; Eirola, Timo ; "
http://arxiv.org/abs/0911.1507,MAC Layer Hurdles in BSNs,"  The last few decades have seen considerable research progress in microelectronics and integrated circuits, system-on-chip design, wireless communication, and sensor technology. This progress has enabled the seamless integration of autonomous wireless sensor nodes around a human body to create a Body Sensor Network (BSN). The development of a proactive and ambulatory BSN induces a number of enormous issues and challenges. This paper presents the technical hurdles during the design and implementation of a low-power Medium Access Control (MAC) protocol for in-body and on-body sensor networks. We analyze the performance of IEEE 802.15.4 protocol for the on-body sensor network. We also provide a comprehensive insight into the heterogeneous characteristics of the in-body sensor network. A low-power technique called Pattern-Based Wake-up Table is proposed to handle the normal traffic in a BSN. The proposed technique provides a reliable solution towards low-power communication in the in-body sensor network. ",Computer Science - Networking and Internet Architecture ; ,"Ullah, Sana ; Khan, Pervez ; Choi, Young-Woo ; Lee, Hyung-Soo ; Kwak, Kyung Sup ; "
http://arxiv.org/abs/0911.1509,On the Development of Low Power MAC Protocol for WBANs,"  Current advances in wireless communication, microelectronics, semiconductor technologies, and intelligent sensors have contributed to the development of unobtrusive WBANs. These networks provide long term health monitoring of patients without any constraint in their normal activities. Traditional MAC protocols do not accommodate the assorted WBAN traffic requirements in a power efficient manner. In this paper, we present a brief discussion on the development process of a low power MAC protocol for WBANs. We observe the behavior of a beacon-enabled IEEE 802.15.4 for on-body sensor networks. We further propose a low power technique called traffic based wakeup mechanism for a WBAN that exploits the traffic patterns of the BAN Nodes to ensure power efficient and reliable communication. ",Computer Science - Networking and Internet Architecture ; ,"Ullah, Sana ; Khan, Pervez ; Kwak, Kyung Sup ; "
http://arxiv.org/abs/0911.1544,Towards Power Efficient MAC Protocol for In-Body and On-Body Sensor   Networks,"  This paper presents an empirical discussion on the design and implementation of a power-efficient Medium Access Control (MAC) protocol for in-body and on-body sensor networks. We analyze the performance of a beacon-enabled IEEE 802.15.4, PB-TDMA, and S-MAC protocols for on-body sensor networks. We further present a Traffic Based Wakeup Mechanism that utilizes the traffic patterns of the BAN Nodes (BNs) to accommodate the entire BSN traffic. To enable a logical connection between different BNs working on different frequency bands, a method called Bridging function is proposed. The Bridging function integrates all BNs working on different bands into a complete BSN. ",Computer Science - Networking and Internet Architecture ; ,"Ullah, Sana ; An, Xizhi ; Kwak, Kyung Sup ; "
http://arxiv.org/abs/0911.1546,A Study of Implanted and Wearable Body Sensor Networks,"  Recent advances in intelligent sensors, microelectronics and integrated circuit, system-on-chip design and low power wireless communication introduced the development of miniaturised and autonomous sensor nodes. These tiny sensor nodes can be deployed to develop a proactive Body Sensor Network (BSN). The rapid advancement in ultra low-power RF (radio frequency) technology enables invasive and non-invasive devices to communicate with a remote station. This communication revolutionizes healthcare system by enabling long term health monitoring of a patient and providing real time feedback to the medical experts. In this paper, we present In-body and On-body communication networks with a special focus on the methodologies of wireless communication between implanted medical devices with external monitoring equipment and recent technological growth in both areas. We also discuss open issues and challenges in a BSN. ",Computer Science - Networking and Internet Architecture ; ,"Ullah, Sana ; Higgins, Henry ; Siddiqui, M. Arif ; Kwak, Kyung Sup ; "
http://arxiv.org/abs/0911.2538,Euclidean versus hyperbolic congestion in idealized versus experimental   networks,"  This paper proposes a mathematical justification of the phenomenon of extreme congestion at a very limited number of nodes in very large networks. It is argued that this phenomenon occurs as a combination of the negative curvature property of the network together with minimum length routing. More specifically, it is shown that, in a large n-dimensional hyperbolic ball B of radius R viewed as a roughly similar model of a Gromov hyperbolic network, the proportion of traffic paths transiting through a small ball near the center is independent of the radius R whereas, in a Euclidean ball, the same proportion scales as 1/R^{n-1}. This discrepancy persists for the traffic load, which at the center of the hyperbolic ball scales as the square of the volume, whereas the same traffic load scales as the volume to the power (n+1)/n in the Euclidean ball. This provides a theoretical justification of the experimental exponent discrepancy observed by Narayan and Saniee between traffic loads in Gromov-hyperbolic networks from the Rocketfuel data base and synthetic Euclidean lattice networks. It is further conjectured that for networks that do not enjoy the obvious symmetry of hyperbolic and Euclidean balls, the point of maximum traffic is near the center of mass of the network. ",Computer Science - Networking and Internet Architecture ; ,"Jonckheere, Edmond ; Lou, Mingji ; Bonahon, Francis ; Baryshnikov, Yuliy ; "
http://arxiv.org/abs/0911.2746,Model Selection: Two Fundamental Measures of Coherence and Their   Algorithmic Significance,"  The problem of model selection arises in a number of contexts, such as compressed sensing, subset selection in linear regression, estimation of structures in graphical models, and signal denoising. This paper generalizes the notion of \emph{incoherence} in the existing literature on model selection and introduces two fundamental measures of coherence---termed as the worst-case coherence and the average coherence---among the columns of a design matrix. In particular, it utilizes these two measures of coherence to provide an in-depth analysis of a simple one-step thresholding (OST) algorithm for model selection. One of the key insights offered by the ensuing analysis is that OST is feasible for model selection as long as the design matrix obeys an easily verifiable property. In addition, the paper also characterizes the model-selection performance of OST in terms of the worst-case coherence, \mu, and establishes that OST performs near-optimally in the low signal-to-noise ratio regime for N x C design matrices with \mu = O(N^{-1/2}). Finally, in contrast to some of the existing literature on model selection, the analysis in the paper is nonasymptotic in nature, it does not require knowledge of the true model order, it is applicable to generic (random or deterministic) design matrices, and it neither requires submatrices of the design matrix to have full rank, nor does it assume a statistical prior on the values of the nonzero entries of the data vector. ",Computer Science - Information Theory ; Mathematics - Statistics Theory ; ,"Bajwa, Waheed U. ; Calderbank, Robert ; Jafarpour, Sina ; "
http://arxiv.org/abs/0911.5153,Self-Reference Ultra-Wideband Systems,"  Towards employing low complexity transceivers for signal reception in Ultra-Wideband (UWB) systems, Transmitted Reference (TR) and Differential TR (DTR) schemes have attracted researchers attention. In this letter, we introduce an alternative, less complex scheme, called Self Reference (SR) UWB transceiver, which uses a modified replica of the received signal itself as reference pulse, resulting in double data rates compared to TR schemes. Moreover, SR eliminates the need for delay lines at the receiver side, which constitute a major drawback of the conventional TR and DTR schemes, while it also requires no channel estimations, resulting in lower complexity implementations and power savings. The performance of the SR scheme is investigated in high-frequency (HF) channels, showing that it offers a better or comparable performance to that of DTR, depending on the channel conditions. ",Computer Science - Networking and Internet Architecture ; ,"Lioumpas, Athanasios S. ; "
http://arxiv.org/abs/1001.1435,"JBotSim, a Tool for Fast Prototyping of Distributed Algorithms in   Dynamic Networks","  JBotSim is a java library that offers basic primitives for prototyping, running, and visualizing distributed algorithms in dynamic networks. With JBotSim, one can implement an idea in minutes and interact with it ({\it e.g.}, add, move, or delete nodes) while it is running. JBotSim is well suited to prepare live demonstrations of your algorithms to colleagues or students; it can also be used to evaluate performance at the algorithmic level (number of messages, number of rounds, etc.). Unlike most tools, JBotSim is not an integrated environment. It is a lightweight library to be used in your program. In this paper, we present an overview of its distinctive features and architecture. ","Computer Science - Mathematical Software ; Computer Science - Distributed, Parallel, and Cluster Computing ; Computer Science - Networking and Internet Architecture ; ","Casteigts, Arnaud ; "
http://arxiv.org/abs/1001.3780,Combinatorial Bounds and Characterizations of Splitting Authentication   Codes,"  We present several generalizations of results for splitting authentication codes by studying the aspect of multi-fold security. As the two primary results, we prove a combinatorial lower bound on the number of encoding rules and a combinatorial characterization of optimal splitting authentication codes that are multi-fold secure against spoofing attacks. The characterization is based on a new type of combinatorial designs, which we introduce and for which basic necessary conditions are given regarding their existence. ",Computer Science - Cryptography and Security ; Computer Science - Information Theory ; G.2.3 ; ,"Huber, Michael ; "
http://arxiv.org/abs/1002.0747,Efficient Bayesian Learning in Social Networks with Gaussian Estimators,"  We consider a group of Bayesian agents who try to estimate a state of the world $\theta$ through interaction on a social network. Each agent $v$ initially receives a private measurement of $\theta$: a number $S_v$ picked from a Gaussian distribution with mean $\theta$ and standard deviation one. Then, in each discrete time iteration, each reveals its estimate of $\theta$ to its neighbors, and, observing its neighbors' actions, updates its belief using Bayes' Law.   This process aggregates information efficiently, in the sense that all the agents converge to the belief that they would have, had they access to all the private measurements. We show that this process is computationally efficient, so that each agent's calculation can be easily carried out. We also show that on any graph the process converges after at most $2N \cdot D$ steps, where $N$ is the number of agents and $D$ is the diameter of the network. Finally, we show that on trees and on distance transitive-graphs the process converges after $D$ steps, and that it preserves privacy, so that agents learn very little about the private signal of most other agents, despite the efficient aggregation of information. Our results extend those in an unpublished manuscript of the first and last authors. ",Statistics - Applications ; Computer Science - Machine Learning ; Statistics - Machine Learning ; ,"Mossel, Elchanan ; Olsman, Noah ; Tamuz, Omer ; "
http://arxiv.org/abs/1003.1628,Having Fun with Lambert W(x) Function,"  This short note presents the Lambert W(x) function and its possible application in the framework of physics related to the Pierre Auger Observatory. The actual numerical implementation in C++ consists of Halley's and Fritsch's iteration with branch-point expansion, asymptotic series and rational fits as initial approximations. ",Computer Science - Mathematical Software ; Computer Science - Numerical Analysis ; Mathematics - Numerical Analysis ; ,"Veberic, Darko ; "
http://arxiv.org/abs/1004.0208,Delay-rate tradeoff in ergodic interference alignment,"  Ergodic interference alignment, as introduced by Nazer et al (NGJV), is a technique that allows high-rate communication in n-user interference networks with fast fading. It works by splitting communication across a pair of fading matrices. However, it comes with the overhead of a long time delay until matchable matrices occur: the delay is q^n^2 for field size q.   In this paper, we outline two new families of schemes, called JAP and JAP-B, that reduce the expected delay, sometimes at the cost of a reduction in rate from the NGJV scheme. In particular, we give examples of good schemes for networks with few users, and show that in large n-user networks, the delay scales like q^T, where T is quadratic in n for a constant per-user rate and T is constant for a constant sum-rate. We also show that half the single-user rate can be achieved while reducing NGJV's delay from q^n^2 to q^(n-1)(n-2).   This extended version includes complete proofs and more details of good schemes for small n. ",Computer Science - Information Theory ; Mathematics - Probability ; ,"Johnson, Oliver ; Aldridge, Matthew ; Piechocki, Robert ; "
http://arxiv.org/abs/1004.4940,FauxCrypt - A Method of Text Obfuscation,"  Warnings have been raised about the steady diminution of privacy. More and more personal information, such as that contained electronic mail, is moving to cloud computing servers where it might be machine-searched and indexed. FauxCrypt is an algorithm for modification of a plaintext document that leaves it generally readable by a person but not readily searched or indexed by machine. The algorithm employs a dictionary substitution of selected words, and an obfuscating transposition of letters in other words. The obfuscation is designed to leave the words understandable, although they are badly spelled. FauxCrypt is free, open source software, with source code available. ",Computer Science - Cryptography and Security ; D.4.6 ; ,"Gualtieri, Devlin M. ; "
http://arxiv.org/abs/1005.2894,Optimal Gradient Clock Synchronization in Dynamic Networks,"  We study the problem of clock synchronization in highly dynamic networks, where communication links can appear or disappear at any time. The nodes in the network are equipped with hardware clocks, but the rate of the hardware clocks can vary arbitrarily within specific bounds, and the estimates that nodes can obtain about the clock values of other nodes are inherently inaccurate. Our goal in this setting is to output a logical clock at each node such that the logical clocks of any two nodes are not too far apart, and nodes that remain close to each other in the network for a long time are better synchronized than distant nodes. This property is called gradient clock synchronization.   Gradient clock synchronization has been widely studied in the static setting, where the network topology does not change. We show that the asymptotically optimal bounds obtained for the static case also apply to our highly dynamic setting: if two nodes remain at distance $d$ from each other for sufficiently long, it is possible to upper bound the difference between their clock values by $O(d \log (D / d))$, where $D$ is the diameter of the network. This is known to be optimal even for static networks. Furthermore, we show that our algorithm has optimal stabilization time: when a path of length $d$ appears between two nodes, the time required until the clock skew between the two nodes is reduced to $O(d \log (D / d))$ is $O(D)$, which we prove to be optimal. Finally, the techniques employed for the more intricate analysis of the algorithm for dynamic graphs provide additional insights that are also of interest for the static setting. In particular, we establish self-stabilization of the gradient property within $O(D)$ time. ","Computer Science - Distributed, Parallel, and Cluster Computing ; Computer Science - Data Structures and Algorithms ; F.2.2 ; G.2.2 ; ","Kuhn, Fabian ; Lenzen, Christoph ; Locher, Thomas ; Oshman, Rotem ; "
http://arxiv.org/abs/1005.3010,A Proof for P =? NP Problem,"  The $\textbf{P} =? \textbf{NP}$ problem is an important problem in contemporary mathematics and theoretical computer science. Many proofs have been proposed to this problem. This paper proposes a theoretic proof for $\textbf{P} =? \textbf{NP}$ problem. The central idea of this proof is a recursive definition for Turing machine (shortly TM) that accepts the encoding strings of valid TMs within any given alphabet. As the concepts ""Tao"", ""Yin"" and ""Yang"" described in Chinese philosopy, an infinite sequence of TM, within any given alphabet, is constructed recursively, and it is proven that the sequence includes all valid TMs, and each of them run in polynomial time. Based on these TMs, the class \textbf{D} that includes all decidable languages is defined, and then the class $\textbf{P}$ and $\textbf{NP}$ are defined. By proving $\textbf{P} \subseteq \textbf{NP}$ and $\textbf{NP} \subseteq \textbf{P}$, the result $\textbf{P}=\textbf{NP}$ is proven. ",Computer Science - Computational Complexity ; F.1.3 ; G.2.1 ; ,"Wan, Changlin ; "
http://arxiv.org/abs/1006.0719,Why Gabor Frames? Two Fundamental Measures of Coherence and Their Role   in Model Selection,"  This paper studies non-asymptotic model selection for the general case of arbitrary design matrices and arbitrary nonzero entries of the signal. In this regard, it generalizes the notion of incoherence in the existing literature on model selection and introduces two fundamental measures of coherence---termed as the worst-case coherence and the average coherence---among the columns of a design matrix. It utilizes these two measures of coherence to provide an in-depth analysis of a simple, model-order agnostic one-step thresholding (OST) algorithm for model selection and proves that OST is feasible for exact as well as partial model selection as long as the design matrix obeys an easily verifiable property. One of the key insights offered by the ensuing analysis in this regard is that OST can successfully carry out model selection even when methods based on convex optimization such as the lasso fail due to the rank deficiency of the submatrices of the design matrix. In addition, the paper establishes that if the design matrix has reasonably small worst-case and average coherence then OST performs near-optimally when either (i) the energy of any nonzero entry of the signal is close to the average signal energy per nonzero entry or (ii) the signal-to-noise ratio in the measurement system is not too high. Finally, two other key contributions of the paper are that (i) it provides bounds on the average coherence of Gaussian matrices and Gabor frames, and (ii) it extends the results on model selection using OST to low-complexity, model-order agnostic recovery of sparse signals with arbitrary nonzero entries. ",Mathematics - Statistics Theory ; Computer Science - Information Theory ; Statistics - Machine Learning ; ,"Bajwa, Waheed U. ; Calderbank, Robert ; Jafarpour, Sina ; "
http://arxiv.org/abs/1006.1029,Chi-square-based scoring function for categorization of MEDLINE   citations,"  Objectives: Text categorization has been used in biomedical informatics for identifying documents containing relevant topics of interest. We developed a simple method that uses a chi-square-based scoring function to determine the likelihood of MEDLINE citations containing genetic relevant topic. Methods: Our procedure requires construction of a genetic and a nongenetic domain document corpus. We used MeSH descriptors assigned to MEDLINE citations for this categorization task. We compared frequencies of MeSH descriptors between two corpora applying chi-square test. A MeSH descriptor was considered to be a positive indicator if its relative observed frequency in the genetic domain corpus was greater than its relative observed frequency in the nongenetic domain corpus. The output of the proposed method is a list of scores for all the citations, with the highest score given to those citations containing MeSH descriptors typical for the genetic domain. Results: Validation was done on a set of 734 manually annotated MEDLINE citations. It achieved predictive accuracy of 0.87 with 0.69 recall and 0.64 precision. We evaluated the method by comparing it to three machine learning algorithms (support vector machines, decision trees, na\""ive Bayes). Although the differences were not statistically significantly different, results showed that our chi-square scoring performs as good as compared machine learning algorithms. Conclusions: We suggest that the chi-square scoring is an effective solution to help categorize MEDLINE citations. The algorithm is implemented in the BITOLA literature-based discovery support system as a preprocessor for gene symbol disambiguation process. ",Computer Science - Information Retrieval ; Statistics - Applications ; Statistics - Machine Learning ; ,"Kastrin, Andrej ; Peterlin, Borut ; Hristovski, Dimitar ; "
